sa2_code_2021,median_weekly_rent,uni_share,uni_students,total_students,overseas_share,p_australia_tot,p_tot_tot,intl_student_proxy,suburb
204031492,260,0.07596425211665099,323,4252,0.1931441453388145,12169,15082,0.014672050551372785,SA2_204031492
205011076,330,0.08134567461730154,457,5618,0.1801952156981743,16210,19773,0.014658101383778151,SA2_205011076
205011077,250,0.07196969696969698,133,1848,0.1798025816249051,5401,6585,0.012940337313913626,SA2_205011077
205011078,300,0.08618504435994931,204,2367,0.16933556405353728,6951,8368,0.014594193099671148,SA2_205011078
205011079,320,0.10547417116422514,684,6485,0.1873671424233222,18732,23051,0.019762394050509235,SA2_205011079
205021081,280,0.05864197530864197,247,4212,0.18802601377199693,12735,15684,0.01102621685699982,SA2_205021081
205021082,250,0.048604860486048604,108,2222,0.17575392038600723,6833,8290,0.008542494780237974,SA2_205021082
205021084,270,0.04673913043478261,129,2760,0.23118953780007165,8583,11164,0.010805597962394654,SA2_205021084
205021085,190,0.050662061024755324,88,1737,0.22000891928051136,5247,6727,0.011146105294579736,SA2_205021085
205021086,310,0.061708860759493674,78,1264,0.2162820696574459,5468,6977,0.01334652012126644,SA2_205021086
205031087,250,0.05854084753167322,134,2289,0.219987296210036,7368,9446,0.01287824276633675,SA2_205031087
205031088,346,0.0,0,31,0.26618705035971224,102,139,0.0,SA2_205031088
205031089,280,0.06177606177606178,160,2590,0.17831741515952043,8087,9842,0.011015747654642189,SA2_205031089
205031090,270,0.06367271608735774,207,3251,0.1785776386715354,9448,11502,0.01137052328668343,SA2_205031090
205031091,330,0.07578659370725034,277,3655,0.25371403724907604,10298,13799,0.019228122658821904,SA2_205031091
205031092,100,0.0,0,5,0.25,12,16,0.0,SA2_205031092
205031093,298,0.07271885132005558,471,6477,0.2135712152881457,21070,26792,0.015530653450782249,SA2_205031093
205041094,230,0.10443864229765012,360,3447,0.18451981195433176,9714,11912,0.01927099863752812,SA2_205041094
205041095,210,0.06281352235550709,288,4585,0.21178647851483431,13629,17291,0.013303054702785668,SA2_205041095
205041096,215,0.06308851224105462,268,4248,0.2795177383592018,10398,14432,0.017634358258066404,SA2_205041096
205041098,250,0.07158836689038031,96,1341,0.13490545995326111,4072,4707,0.009657661562649566,SA2_205041098
205041493,250,0.09557522123893805,324,3390,0.19525,9657,12000,0.018661061946902657,SA2_205041493
205041494,300,0.10433884297520661,505,4840,0.17988348591130662,13796,16822,0.018768834790332613,SA2_205041494
205051099,20,0.0,0,9,0.391304347826087,14,23,0.0,SA2_205051099
205051100,200,0.07544006705783739,90,1193,0.21281790437436418,3869,4915,0.016054996977110457,SA2_205051100
205051101,250,0.05779504613890238,238,4118,0.1604093250203307,12389,14756,0.0092708643406602,SA2_205051101
205051102,236,0.03471882640586797,71,2045,0.2226055194805195,3831,4928,0.007728602387832217,SA2_205051102
205051103,280,0.09135172733596104,394,4313,0.185674138945167,12460,15301,0.01696165331425824,SA2_205051103
205051104,240,0.04113687359760658,55,1337,0.2094558429973238,4431,5605,0.008616358537661038,SA2_205051104
206011106,421,0.4185303514376997,1441,3443,0.3403203014601978,8403,12738,0.14243437537152048,SA2_206011106
206011107,365,0.3283325135268077,1335,4066,0.33468361503003213,9526,14318,0.10988751255904892,SA2_206011107
206011109,421,0.20166720102596986,629,3119,0.2539942252165544,7751,10390,0.05122230447618234,SA2_206011109
206011495,431,0.40389648153533003,1389,3439,0.33328161365399533,8594,12890,0.1346112711152659,SA2_206011495
206011496,450,0.44337979094076657,1527,3444,0.33682507894939534,8610,12983,0.1493414330881901,SA2_206011496
206011497,416,0.3129059587687094,1108,3541,0.36067012365376944,8014,12535,0.1128558308411117,SA2_206011497
206011498,450,0.23513379583746283,949,4036,0.30076259710640724,9811,14031,0.07071945110356305,SA2_206011498
206021110,381,0.27486910994764396,735,2674,0.25583722481654436,6693,8994,0.07032175027679884,SA2_206021110
206021112,396,0.27341105678826627,1454,5318,0.2952058776890956,13334,18919,0.08071255098908331,SA2_206021112
206021499,461,0.2681359044995409,1168,4356,0.2735598619591187,10946,15068,0.07335122102117783,SA2_206021499
206021500,490,0.2813342318059299,835,2968,0.2821633168268764,7393,10299,0.0793821999833025,SA2_206021500
206031113,370,0.21692439862542956,1010,4656,0.32749654400631956,10216,15191,0.0710419908604774,SA2_206031113
206031115,324,0.28774928774928776,808,2808,0.4410369553226696,5067,9065,0.12690806976521263,SA2_206031115
206031116,400,0.26859122401847574,1163,4330,0.3141025641025641,11128,16224,0.08436519215964942,SA2_206031116
206031501,382,0.22678683714106057,1082,4771,0.26567759630968707,11780,16042,0.06025218176631344,SA2_206031501
206031502,371,0.25874125874125875,888,3432,0.2925108686736117,8625,12191,0.07568463035610933,SA2_206031502
